LMO3,PCSK5,VSIG1,BACH2,PDGFRB,CR2,RASL11A,RTN2,LGR6,TPT1,TNS3,DUSP6,ITGB1BP2,FAM83A,AZGP1,SCGB3A1,IFI27,STK32A,METRNL,SIX5,CD163L1,PCDHB9,LDLRAD3,ALOX15B,GLTPD2,DCUN1D3,TPSB2,ERVMER341,MTRNR2L12,AC005832.4,TBCE,group
44,647,21,92,22,5,52,40,17,6272,71,130,35,1695,61,251,604,5,105,49,28,28,10,30,30,3564,45,47,189,16,575,0
8,309,7,216,72,22,4,26,31,5219,389,382,12,2394,35,339,103,5,216,43,32,66,1,15,22,276,0,23,13,9,493,0
15,1374,102,43,73,36,87,77,49,20798,334,1262,26,1502,53,42,717,14,865,296,1,25,75,45,120,952,51,65,214,31,486,0
65,1028,40,291,103,34,61,44,20,9581,304,165,39,9220,109,228,2029,22,518,98,5,28,69,22,36,444,95,32,239,0,2740,0
2,185,15,42,101,1,10,24,36,7790,114,137,2,5602,79,38,1423,8,50,51,18,6,7,47,27,73,0,25,188,0,27667,0
0,238,3,53,50,0,1,0,9,3768,221,119,0,74,0,0,344,0,102,21,0,10,12,7,6,2419,0,8,11,0,870,0
54,170,45,67,58,5,4,64,6,2528,348,394,7,544,56,16,240,0,156,31,1,13,4,12,1,3904,62,4,19,0,242,0
3,471,7,32,1,12,28,48,30,2680,71,131,6,1631,24,67,320,0,87,52,1,10,2,9,44,76,5,23,49,5,186,0
0,137,9,13,10,4,0,19,9,1279,517,384,0,182,30,4,202,1,241,5,142,0,32,7,6,314,0,2,10,0,404,0
3,491,10,3,2,20,20,41,13,2300,58,253,1,208,18,35,24,2,780,21,11,9,23,7,47,379,6,3,7,0,273,0
28,1225,54,387,15,32,50,47,34,9291,83,564,44,8168,307,1104,826,7,209,189,11,83,57,20,126,467,13,78,87,0,809,0
5,1982,36,8,135,9,65,18,29,10406,272,122,9,5921,169,345,253,50,83,255,85,32,98,61,45,154,54,46,791,0,1496,0
33,489,5,50,1,39,3,8,46,2320,152,98,11,2261,60,20,1395,10,97,40,1,45,8,18,6,137,0,24,3,7,1996,0
95,17,11,8,35,0,4,5,2,991,65,95,3,49,11,28,59,0,60,2,0,18,15,2,8,2903,0,0,22,0,41,0
42,283,7,48,180,0,0,32,35,8205,214,99,37,565,132,604,87,0,223,18,0,8,0,86,30,557,1,50,3,22,572,0
15,847,82,44,125,7,119,55,186,19340,374,354,15,28484,176,16,3066,24,228,141,84,10,3,7,68,249,107,89,155,24,13199,0
51,1391,45,241,23,36,106,75,21,8963,372,429,50,1563,92,375,501,12,331,254,1,50,49,67,83,504,104,43,111,30,465,0
